State,District,Actual (mm),Normal (mm),Deviation (mm),DISTRICT,LATITUDE,LONGITUDE,Ground Water level (mbgl),Refresh Rate
gujarat,kachchh,1095.88,405.3,170.39,kachchh,23.2558,68.84,10.03,181.3488
gujarat,rajkot,1260.08,613.6,105.36,rajkot,21.6625,70.3417,2.91,155.7632
goa,south goa,3906.83,3045.2,28.29,south goa,15.0413,73.9911,4.8,67.3583
goa,north goa,3142.47,2614.02,24.5,north goa,15.5842,73.7382,11.77,150.1988
uttar pradesh,farrukhabad,745.58,889.3,9.34,farrukhabad,27.483,79.664,4.4,16.7958
uttar pradesh,lucknow,901.57,927,5.55,lucknow,27.004,80.908,12.52,50.6285
uttar pradesh,kheri,1144.46,1124.7,1.76,kheri,27.96,80.689,2.78,58.983
uttar pradesh,chandauli,1096.66,1075.3,7.375,chandauli,25.37,83.377,4.7,18.3416
uttar pradesh,ambedkar nagar,1159.18,1025.9,12.99,ambedkar nagar,26.45,82.513,4.32,36.1736
uttar pradesh,budaun,766,878.7,14.69,budaun,28.408,78.906,16.12,45.33
uttar pradesh,balrampur,1458.47,1253.1,16.39,balrampur,27.65,82.28,2.8,89.3135
uttar pradesh,basti,1350.9,1121.1,20.5,basti,26.633,82.692,3.39,74.536
uttar pradesh,rampur,958.18,1117.1,16.585,rampur,28.885,79.283,3.81,45.3304
uttar pradesh,mirzapur,1051.76,933.5,12.67,mirzapur,25.067,82.49,7.09,33.7052
uttar pradesh,jyotiba phule nagar,1003.19,952.1,5.37,jyotiba phule nagar,29,78.603,14.94,25.4338
uttar pradesh,lalitpur,878.87,1062.1,51.015,lalitpur,24.81,78.63,5.65,77.3811
uttar pradesh,mathura,943.3,595.6,58.38,mathura,27.419,77.822,6.44,77.246
uttar pradesh,mahoba,1015.5,753.9,39.73,mahoba,25.27,79.578,4.38,90.505
uttar pradesh,saharanpur,1104.47,912.2,21.08,saharanpur,30.112,77.621,5.47,54.2141
uttar pradesh,chitrakoot,962.77,954.85,19.195,chitrakoot,25.26,80.922,13.69,67.3335
uttar pradesh,sant kabir nagar,1205.42,997.5,17.31,sant kabir nagar,26.554,83.019,3.12,77.581
uttar pradesh,sonbhadra,1229.44,1082.8,13.54,sonbhadra,23.954,83.079,9.33,50.4232
uttar pradesh,fatehpur,851.67,966.1,9.026666667,fatehpur,25.772,80.903,3.92,43.09346667
uttar pradesh,azamgarh,1061.7,1061.7,0,azamgarh,26.201,83.23,5.84,42.468
uttar pradesh,aligarh,940.25,730.6,28.7,aligarh,27.95,78.167,5.17,47.505
uttar pradesh,baghpat,875.33,649,34.87,baghpat,28.951,77.418,23.48,61.1299
uttar pradesh,hardoi,936.76,935.2,0.17,hardoi,27.332,80.309,2.6,47.008
uttar pradesh,rae bareli,844.73,949.1,0.1575,rae bareli,26.317,81.35,1.47,33.9467
uttar pradesh,ghazipur,969.51,1052.7,0.145,ghazipur,25.456,83.731,1.92,38.9254
uttar pradesh,kaushambi,909.15,918.6,0.1325,kaushambi,25.437,81.722,22.06,18.3155
uttar pradesh,deoria,1242.81,1132.1,9.78,deoria,26.277,84.147,5.06,34.6362
uttar pradesh,bahraich,1261.28,1143.7,10.28,bahraich,27.87,81.5,1.6,35.5056
uttar pradesh,gorakhpur,1134.99,1259.3,8.475,gorakhpur,26.56,83.34,3.83,31.1748
uttar pradesh,bijnor,1166.4,1093.5,6.67,bijnor,29.59,78.17,10.98,41.662
uttar pradesh,banda,1007.14,972.6,3.55,banda,25.393,80.622,2.21,13.6214
uttar pradesh,muzaffarnagar,970.01,833.7,16.35,muzaffarnagar,29.538,77.594,7.93,55.1504
uttar pradesh,etawah,863.53,857.5,0.7,etawah,26.8,79.01,7.64,17.9706
uttar pradesh,moradabad,973.71,986.2,69.05333333,moradabad,28.399,78.629,16.87,117.7388333
uttar pradesh,agra,1583.18,779,103.23,agra,27.177,77.746,5.47,166.5572
uttar pradesh,jaunpur,1030.5,1005.5,2.49,jaunpur,25.879,82.464,8.23,23.1
uttar pradesh,kanpur nagar,819.49,846.5,4.43,kanpur nagar,26.236,80.35,1.64,20.8198
uttar pradesh,jhansi,997.82,938.1,6.37,jhansi,25.454,78.567,3.83,36.3046
uttar pradesh,meerut,966.52,904.7,6.83,meerut,29.125,78,10.3,16.4952
uttar pradesh,pilibhit,1186.42,1129.5,5.04,pilibhit,28.725,79.717,4.3,16.9042
uttar pradesh,kanpur dehat,830.14,823.3,0.83,kanpur dehat,26.6,79.98,2.05,25.7342
uttar pradesh,firozabad,1352.85,780.3,73.38,firozabad,27.239,78.654,8.34,141.0225
uttar pradesh,ayodhya,1181.57,970.9,21.7,ayodhya,26.48,82.14,3.89,33.5157
uttar pradesh,kushinagar,1487.92,1323.7,12.41,kushinagar,26.906,83.6,2.2,86.806
uttar pradesh,jalaun,818.54,879.6,9.26,jalaun,26.133,79.75,24.18,42.0016
uttar pradesh,ghaziabad,796.14,750.3,6.11,ghaziabad,28.847,77.575,6.68,37.9556
uttar pradesh,etah,1031.85,757.7,36.18,etah,27.558,78.933,3.25,46.4985
uttar pradesh,ballia,1363.01,999.5,36.37,ballia,25.825,84.214,4.25,50.0001
uttar pradesh,unnao,840.59,918,25.41,unnao,26.864,80.601,1.22,59.0336
uttar pradesh,sitapur,1015.76,981.5,3.49,sitapur,27.739,81.149,2.12,44.1204
uttar pradesh,bareilly,946.93,1050.5,14.90333333,bareilly,28.779,79.5,1.07,24.37263333
uttar pradesh,shrawasti,1379.46,1143.7,20.61,shrawasti,27.649,81.733,1.62,75.7884
uttar pradesh,sultanpur,1012.04,1008.6,0.34,sultanpur,26.174,81.762,2.23,10.4604
uttar pradesh,gonda,1336.2,1166.8,14.52,gonda,26.98,82.389,2.4,54.606
uttar pradesh,gautam buddha nagar,738.04,1301.85,11.37333333,gautam buddha nagar,28.52,77.39,40.61,26.13413333
uttar pradesh,mainpuri,801.25,762.5,5.08,mainpuri,27.224,79.286,8.37,13.0925
uttar pradesh,varanasi,970.74,945.1,2.71,varanasi,25.193,82.842,10.03,51.247
uttar pradesh,auraiya,841.03,837.3,0.45,auraiya,26.575,79.317,18.97,8.8603
tripura,south tripura,2002.22,2268.6,0.99,south tripura,23.2656,91.4881,1.46,81.0788
tripura,west tripura,2099.96,2266.8,1.53,west tripura,23.8028,91.2714,3.69,106.528
tripura,north tripura,2697.2,2642.5,2.07,north tripura,24.2416,92.2852,2.76,136.93
tripura,dhalai,2698.22,2120.9,2.58,dhalai,23.924,91.8471,7.75,56.5444
chandigarh,chandigarh,1116.46,1077.7,3.6,chandigarh,30.7125,76.7853,22.02,14.7646
tamilnadu,theni,3170.44,833.5,280.38,theni,9.9958,77.6292,4.9,375.4932
tamilnadu,coimbatore,11081.57,694.4,1495.85,coimbatore,11.225,77.1083,10.37,2049.9285
tamilnadu,karur,1885.4,664.7,183.65,karur,10.775,77.925,7.5,277.92
tamilnadu,namakkal,1802.51,776.5,132.13,namakkal,11.3847,78.0125,3.8,186.2053
tamilnadu,cuddalore,2015.35,1235.8,63.08,cuddalore,11.6392,79.7472,4.09,163.8475
tamilnadu,tiruppur,4953.02,1465.75,297.365,tiruppur,11.2958,77.1319,5.42,495.4858
tamilnadu,the nilgiris,10710.93,1695.7,531.65,the nilgiris,11.4708,76.4114,8.82,852.9779
tamilnadu,thanjavur,2083.35,1053,97.85,thanjavur,10.5475,79.4258,4.81,181.184
tamilnadu,dharmapuri,1671.69,853.1,95.95,dharmapuri,12,78.25,3.2,112.6669
tamilnadu,erode,3155.9,711.4,343.62,erode,11.625,77.7167,5.9,375.179
tamilnadu,dindigul,2029.66,831.6,144.07,dindigul,10.2583,77.925,3.07,164.3666
tamilnadu,kanniyakumari,3706.09,1006,268.4,kanniyakumari,8.0833,77.55,3.67,416.6436
tamilnadu,tiruvannamalai,2768.69,1046.6,164.54,tiruvannamalai,12.5917,79.625,1.6,302.9745
tamilnadu,ramanathapuram,1960.44,821.2,138.73,ramanathapuram,9.2417,78.5125,5.15,236.752
tamilnadu,kancheepuram,3568.67,1252.1,185.01,kancheepuram,12.8347,79.6722,1.75,292.0701
tamilnadu,ariyalur,2217.86,1084.55,190.61,ariyalur,11.2333,79.315,3,257.1458
tamilnadu,vellore,2716.21,917,196.21,vellore,12.9,78.9458,7.67,332.0205
tamilnadu,krishnagiri,1840.39,866.2,167,krishnagiri,12.3328,78.3503,2.23,203.8078
tamilnadu,tiruchirappalli,1938.9,815.4,137.79,tiruchirappalli,10.8906,78.5317,3.71,215.346
tamilnadu,perambalur,2405.28,949.6,153.29,perambalur,11.1347,78.775,3.95,249.5012
tamilnadu,thiruvarur,2143.49,1129.9,89.71,thiruvarur,10.9606,79.5733,1.33,175.4496
tamilnadu,tirunelveli,5000.09,736.9,578.53,tirunelveli,8.6611,77.625,10.67,678.5318
tamilnadu,chennai,2910.13,1298.1,124.18,chennai,13.0747,80.2625,3.2,211.4839
tamilnadu,salem,1716.49,898,91.15,salem,11.6,78.6083,6.7,142.6447
tamilnadu,madurai,2254.58,840,168.4,madurai,10.05,78.0967,6.11,258.5832
tamilnadu,pudukkottai,2022.81,921.5,119.51,pudukkottai,10.4525,78.7028,4.8,180.1943
telangana,nizamabad,1790.5,1069.3,67.45,nizamabad,18.7998,78.2886,6.26,139.07
telangana,khammam,1956.78,1095.7,78.59,khammam,17.3369,80.4421,7.03,176.429
telangana,adilabad,1524.59,1103.6,38.15,adilabad,19.5261,78.3403,34.32,114.3795
telangana,hyderabad,1594.36,845.6,88.55,hyderabad,17.3888,78.5181,6.01,136.3808
telangana,warangal,1721.87,990.6,73.82,warangal,17.8433,79.8564,3.58,108.2574
telangana,nalgonda,1918.48,744.3,157.76,nalgonda,17.0378,79.0449,3.7,215.3144
telangana,karimnagar,1636.26,978.4,67.24,karimnagar,18.6218,79.1617,2.81,83.6026
telangana,medak,1356.07,954.9,42.01,medak,17.9769,78.4386,0.01,96.2528
jharkhand,dhanbad,2252.82,1295.6,73.88,dhanbad,23.7508,86.2659,6.68,96.4082
jharkhand,jamtara,2877.95,1369.7,78.26,jamtara,24.0964,86.996,7.88,164.5985
jharkhand,dumka,2637,1443.8,82.64,dumka,24.2664,87.2495,4.87,214.49
jharkhand,garhwa,1477.47,1390.6,63.275,garhwa,24.1721,83.7362,3.62,122.3738
jharkhand,ramgarh,2273.93,1309.16,41.85,ramgarh,23.5743,85.6236,5.58,110.0679
jharkhand,chatra,2202.97,1280.92,39.79,chatra,24.2187,84.983,8.1,83.8494
jharkhand,lohardaga,2242.72,1252.68,37.73,lohardaga,23.3637,84.734,8.25,105.0116
jharkhand,godda,2185.45,1224.44,35.67,godda,25.052,87.363,8.41,79.379
jharkhand,palamu,1598.23,1196.2,33.61,palamu,24.225,83.9055,6.1,113.5215
jharkhand,ranchi,2371.19,1323.2,79.2,ranchi,23.4456,85.6069,6.07,126.6238
jharkhand,deoghar,2531.99,1259.65,89.645,deoghar,24.5144,86.6455,6.37,114.9649
jharkhand,latehar,1939.67,1360.266667,54.36333333,latehar,23.8511,84.1108,5.12,73.76003333
jharkhand,bokaro,1781.51,1259.6,41.43,bokaro,23.7634,86.0011,5.24,59.2451
jharkhand,simdega,1511.72,1237.6,62.2,simdega,22.6472,84.9097,5.65,77.3172
jharkhand,giridih,2224.13,1215.6,82.97,giridih,24.084,85.8336,5.6,105.2113
jharkhand,pakur,2293.88,1528,50.12,pakur,24.7058,87.7026,7.27,95.9976
jharkhand,hazaribagh,2426.28,1251.2,93.92,hazaribagh,23.856,85.2193,6.6,118.1828
jharkhand,gumla,1915.95,1477.7,29.66,gumla,22.8713,84.8297,6.02,106.298
jharkhand,khunti,2328.41,1221.5,17.165,khunti,23.0425,85.1133,4.3,63.7332
maharashtra,washim,1010.34,965.3,4.67,washim,20.5539,77.6439,6.1,55.187
maharashtra,pune,1921.99,1122.6,71.21,pune,18.9761,73.8575,7.63,109.6498
maharashtra,satara,1962.77,1117.6,75.62,satara,17.205,74.1469,6.2,134.5031
maharashtra,parbhani,2525.98,915.9,175.79,parbhani,19.5394,76.9444,4,302.089
maharashtra,jalna,1625.16,752.2,116.05,jalna,19.5175,75.6594,7,132.3016
maharashtra,nashik,1371.45,658,108.43,nashik,20.7925,74.2033,15.7,122.1445
maharashtra,osmanabad,1281.74,844.6,51.76,osmanabad,18.4567,75.6617,3.1,90.2122
maharashtra,ratnagiri,2459.89,3290.4,108.26,ratnagiri,17.3583,73.5333,2.1,132.8589
maharashtra,latur,2639.12,929.4,183.96,latur,18.7,76.9333,5.6,315.916
maharashtra,yavatmal,1168.74,1032.1,13.24,yavatmal,20.0844,77.9525,7.2,71.677
maharashtra,bhandara,1253.04,1361.3,13.14,bhandara,21.125,79.675,2.55,75.792
maharashtra,mumbai suburban,2891.33,1221.7,13.04,mumbai suburban,19.1325,72.8392,2.5,70.8666
maharashtra,nagpur,1222.09,1082.1,12.94,nagpur,20.9358,78.8539,4.1,37.3818
maharashtra,nandurbar,799.76,914.4,12.88,nandurbar,21.8056,74.0972,2,52.868
maharashtra,chandrapur,1472.81,1305.4,12.82,chandrapur,20.2589,79.2347,5.4,42.2762
maharashtra,hingoli,1802.02,1043.9,11.96,hingoli,19.5417,77.0417,4,48.0004
maharashtra,jalgaon,869.22,782.4,11.1,jalgaon,21.0453,75.0772,4.17,45.8688
maharashtra,akola,991.02,825.3,20.08,akola,20.7367,77.0072,12.73,39.9004
maharashtra,dhule,818.93,647,26.57,dhule,20.825,74.6,2.5,59.3272
maharashtra,kolhapur,1675.11,1625.4,3.06,kolhapur,16.1167,74.2,10.2,70.0644
maharashtra,amravati,1138.1,886.4,28.4,amravati,21.3083,77.5208,3.55,51.162
maharashtra,nanded,2537.8,978.5,159.36,nanded,19.2947,77.3783,5,210.116
maharashtra,solapur,834.11,659,26.57,solapur,17.5333,76.2,3.5,43.2522
maharashtra,thane,2705.83,2525.2,7.15,thane,19.1781,73.1469,1.3,34.2083
maharashtra,sangli,1199.7,737.2,62.74,sangli,17.4161,74.9294,3.05,110.728
maharashtra,buldana,993.55,792.5,25.37,buldana,20.4,76,3.5,35.3055
maharashtra,wardha,1215.09,1043.2,16.48,wardha,20.9167,78.4833,5.17,77.2345
haryana,kaithal,1095.97,582.9,88.02,kaithal,29.9142,76.2606,46.3,109.9394
haryana,rohtak,1134.25,600.5,88.88,rohtak,29.0431,76.4764,2.16,145.5925
haryana,gurgaon,1006.2,583.2,72.53,gurgaon,28.4417,76.7722,17.65,82.592
haryana,mahendragarh,1005.31,501.9,100.3,mahendragarh,28.05,76.1125,5.17,140.5124
haryana,sirsa,861.74,320.1,169.21,sirsa,29.6222,75.0222,5.05,195.0622
haryana,palwal,902.99,641.45,99.535,palwal,28.0792,77.1875,9.55,117.5948
haryana,ambala,1250.31,962.8,29.86,ambala,30.3833,76.7625,1.35,92.3755
haryana,rewari,1029.25,561.7,83.24,rewari,28.2417,76.5083,12.07,134.7025
haryana,faridabad,916.52,521.4,75.78,faridabad,28.3458,77.3208,30.3,121.606
haryana,panipat,1208.37,615.1,96.45,panipat,29.3819,77.0911,15.52,108.5337
haryana,panchkula,1230.57,1111.9,10.67,panchkula,30.6417,77.0083,16.85,22.9757
haryana,karnal,1260.26,723.8,74.12,karnal,29.6281,76.6744,34.04,111.9278
haryana,fatehabad,965.22,376.1,156.64,fatehabad,29.4133,75.3278,3.1,166.2922
haryana,jhajjar,1098.13,441.7,148.61,jhajjar,28.7,76.7167,1.31,192.5352
haryana,kurukshetra,1219.19,695.6,75.27,kurukshetra,30.0167,76.4917,40.63,124.0376
haryana,hisar,1035.3,415.4,149.23,hisar,29.2167,75.525,16.9,200.995
haryana,bhiwani,1108.09,427.5,159.2,bhiwani,28.9375,76.1681,0.79,181.3618
haryana,jind,1101.84,529,108.29,jind,29.5186,76.4819,29.5,163.382
haryana,yamunanagar,1528.66,1108.7,37.88,yamunanagar,30.3,77.3,3.25,99.0264
haryana,sonipat,1141.33,628.7,81.54,sonipat,29.0333,76.7917,2.75,127.1932
haryana,mewat,916.9,2310.15,114.87,mewat,28.1861,77.0986,0.96,151.546
arunachal pradesh,tirap,3256.12,3991.6,148.2,tirap,27.1966,95.4628,4.35,311.006
arunachal pradesh,changlang,2648.05,3991.6,64.68,changlang,27.4461,96.1086,4.3,144.1215
arunachal pradesh,lower subansiri,3675.72,2089.1,75.95,lower subansiri,27.4048,94.1522,5.27,149.4644
arunachal pradesh,east siang,5497.6,4171.9,31.78,east siang,28.0362,95.3358,10.24,196.708
arunachal pradesh,lohit,2750.41,3107.7,71.32333333,lohit,27.7395,95.9098,5.77,153.8356333
delhi,north east,946.92,488.3625,10.92692308,north east,28.6972,77.2872,23.69,29.86532308
punjab,faridkot,425.89,444.7,10.52076923,faridkot,30.7394,74.8622,19.56,27.55636923
punjab,hoshiarpur,481.15,934.6,10.11461538,hoshiarpur,31.75,75.7417,15.37,29.36061538
punjab,fatehgarh sahib,559.07,695.2,9.708461538,fatehgarh sahib,30.5908,76.2333,26.59,37.66196154
punjab,amritsar,421.23,687.4,9.302307692,amritsar,31.5153,75.3,15.05,30.36380769
punjab,mansa,565.29,534,8.896153846,mansa,29.9283,75.5617,19.73,25.85485385
punjab,muktsar,412.93,380.6,8.49,muktsar,30.33,74.7142,10.89,16.7486
punjab,rupnagar,561.17,858.6,8.43,rupnagar,31.3306,76.4,4.27,19.6534
punjab,kapurthala,453.64,466.4,8.25,kapurthala,31.6042,75.5878,17.43,12.7864
punjab,bathinda,458.6,423.9,8.19,bathinda,30.3389,74.7897,13.37,12.776
punjab,ludhiana,484.66,678.8,7.763,ludhiana,30.7019,76.2186,24.91,22.3028
punjab,firozpur,415.58,435.4,6.482,firozpur,30.8572,74.5781,5.97,27.261
punjab,jalandhar,462.89,722.4,6.055,jalandhar,31.4292,75.6639,6.75,24.5706
punjab,sangrur,567.91,613.9,5.628,sangrur,30.3733,75.8556,42.26,28.3444
punjab,barnala,467.42,555.8,5.201,barnala,30.5228,75.5592,40.39,19.2236
punjab,moga,440.83,497.7,4.774,moga,30.6178,75.0772,28.33,13.5906
punjab,gurdaspur,478.77,1012.2,4.347,gurdaspur,31.8958,75.1625,7.83,9.1347
assam,lakhimpur,3398.48,3270.3,3.92,lakhimpur,27.4029,94.1746,1.83,173.844
assam,karimganj,3454.99,3751,11.455,karimganj,24.5625,92.4139,1.1,80.5548
assam,sonitpur,2354.48,1978.7,18.99,sonitpur,26.8142,92.8344,2.17,136.714
assam,hailakandi,3297.19,2838.3,16.17,hailakandi,24.8583,92.6006,7.63,181.0295
assam,kokrajhar,3501.86,3102.4,12.88,kokrajhar,26.5692,90.15,2.87,117.9358
assam,tinsukia,2790.84,2322.6,20.16,tinsukia,27.4954,95.2545,4.49,48.0684
assam,chirang,3414.93,2284.4,11.76,chirang,26.5583,90.3833,3.64,45.9093
assam,jorhat,2436.54,2265.3,7.56,jorhat,26.7225,94.1772,1.82,105.0216
assam,udalguri,2603.3,1693.75,28.29,udalguri,26.75,91.9086,1.47,80.356
assam,golaghat,1833.96,1751.7,4.7,golaghat,26.4333,94.0083,5.16,41.3792
assam,nagaon,1687.31,1884.8,12.575,nagaon,26.3361,92.7614,2.43,29.4481
assam,nalbari,2284.01,1896.2,20.45,nalbari,26.5561,91.4525,1.96,134.6505
assam,dhemaji,4040.13,2154.3,17.205,dhemaji,27.4306,94.2625,2.8,178.8102
assam,kamrup,2164.89,1896.2,14.17,kamrup,26.2482,91.6903,1.98,100.7656
assam,darrang,1678.84,1951.2,16.95,darrang,26.5561,92.1987,3.99,100.892
assam,dibrugarh,3135.33,2649.4,18.34,dibrugarh,27.3987,94.8787,4.32,143.7532
assam,barpeta,3150.22,2051.4,53.56,barpeta,26.448,91.0748,3.42,211.071
assam,dhubri,3507.28,2752.8,27.41,dhubri,26.2769,90.4469,5.2,167.7012
assam,bongaigaon,3149.38,3102.4,1.51,bongaigaon,26.4474,90.5173,4.67,33.0038
assam,baksa,3297.07,2234,13.43666667,baksa,26.715,91.712,4.09,145.3194667
assam,goalpara,3084.24,2583.2,19.4,goalpara,26.1302,90.5955,7.18,142.7696
assam,cachar,3274.31,3311.9,85.195,cachar,24.5842,92.0167,5.7,150.6812
jammu & kashmir,samba,1460.785,845.7333333,151.23,samba,32.6374,74.9015,4.34,90.05325
jammu & kashmir,rajouri,1460.785,1103,151.47,rajouri,33.2867,74.2834,3.36,90.05325
jammu & kashmir,jammu,657.19,1249.9,151.59,jammu,32.8558,74.7467,14.41,158.1619
jammu & kashmir,kathua,618.4,1350.7,151.71,kathua,32.4447,75.3606,20.71,176.446
jammu & kashmir,udhampur,667.55,1885.4,151.83,udhampur,32.8488,75.1779,1.42,158.5055
karnataka,chitradurga,1647.85,535.3,207.84,chitradurga,14.2192,76.2617,2.4,224.3185
karnataka,mandya,3227.7,699.5,361.43,mandya,12.6667,76.4833,11.15,490.538
karnataka,bellary,767.25,631.6,21.48,bellary,15.35,76.9139,2.98,36.825
karnataka,mysore,3882.88,776.7,399.92,mysore,12.1208,76.4667,3.35,516.4064
karnataka,tumkur,2559.54,692.9,269.4,tumkur,13.3042,76.9342,3.82,371.7816
karnataka,shimoga,3665.61,2073.1,76.82,shimoga,13.9403,75.7503,1.3,186.7883
karnataka,kodagu,6424.84,2249.2,185.65,kodagu,12.2583,75.9178,4.15,442.6436
karnataka,gadag,1126.43,630.6,78.63,gadag,15.425,75.5836,0.76,89.8943
karnataka,raichur,841.12,679.7,23.75,raichur,16.0667,76.9842,7.15,57.3948
karnataka,uttara kannada,3022.63,3221.4,32.3,uttara kannada,14.6667,74.3,5.8,122.9789
karnataka,udupi,6204.34,4405,40.85,udupi,13.6042,74.6842,5.8,102.8934
karnataka,hassan,4749.36,1396,240.21,hassan,12.9667,75.9833,8.38,430.1844
karnataka,bagalkot,1043.02,592.2,76.13,bagalkot,15.9167,75.6778,3.87,96.9904
karnataka,haveri,1687.07,747.2,125.79,haveri,14.7,75.5,5.8,210.1435
karnataka,davanagere,1691.46,661.5,155.7,davanagere,14.1125,75.8681,1.9,223.3584
karnataka,kolar,1781.5,738,141.4,kolar,12.8417,78.1669,2.8,177.03
karnataka,dharwad,1481.06,785,88.67,dharwad,15.5417,75.0542,10.73,133.1018
karnataka,bidar,1809.6,904.8,100,bidar,18.25,77.45,1.78,136.192
karnataka,koppal,734.98,586.2,25.38,koppal,15.45,76.5172,1.43,62.129
karnataka,gulbarga,1121.87,842.6,33.14,gulbarga,17.2,76.3508,4.7,55.5774
